DESTINO;ORIGEN;CANTI;FOBDOL;FOBPES
BLR;BOG;26950;3461,8;14151484,32
BLR;BOG;24225;5955,5;23673648,49
BLR;BOG;33900;4590,9;18249240,68
BLR;BOG;13200;1757,25;6985226,9
BLR;BOG;70;36,4;147314,8
BLR;BOG;500;1;4116,59
BLR;BOG;43300;5572,88;22584559,13
BLR;BOG;559350;73347,2;296931698,4
BLR;BOG;1000;190;768950,9
BLR;BOG;130;179,33;717488
BLR;BOG;100;25,5;101507,08
BLR;BOG;315;461,55;1852611,12
BLR;BOG;200;61,2;243617
BLR;BOG;2,5;28,9;115041,36
BOL;BOG;300;1338;5397264,54
BOL;BOG;1160;4610,2;18596763,06
BOL;BOG;827;5736,43;23139783,42
BOL;BOG;480;2281,6;9137944,89
BOL;BOG;160;510,4;2044182,62
BOL;BOG;160;452;1810287,12
BOL;BOG;320;1437,6;5757674,25
BOL;BOG;160;1011,2;4049916,67
BOL;BOG;640;2032;8138281,92
BOL;BOG;800;4838,4;19378082,3
BOL;BOG;160;1039,8;4164461,38
BOL;BOG;6;75;308744,25
BOL;BOG;352,95;10578,46;43547182,65
BOL;BOG;3;9;36304,47
BOL;BOG;1;4;16135,32
BOL;BOG;2;10;40338,3
BOL;BOG;12;1639;6564293,34
BOL;BOG;4750;14120;56128270,8
BOL;BOG;21;138,68;551899,44
BOL;BOG;49;133,87;541438,55
BOL;BOG;8;39,44;156094,44
BOL;BOG;160;594,51;2361474,25
BOL;BOG;9;35,91;144142,82
BOL;BOG;437;1139,89;4581771,17
BOL;BOG;9;30,06;121577,97
BOL;BOG;62;165,96;663774,17
BOL;BOG;75;171,28;692743,66
BOL;BOG;51;185;732187,45
BOL;BOG;10;102,52;405750,58
BOL;BOG;1112;2762,75;10993192,56
BOL;BOG;4;76,36;302215,31
BOL;BOG;269;972,93;3857550,67
BOL;BOG;48;129,11;513184,8
BOL;BOG;3;147,25;582781,63
BOL;BOG;45;491,95;1947024,95
BOL;BOG;12;211,56;837305,82
BOL;BOG;5;30,85;124773,13
BOL;BOG;5;36,05;145804,58
BOL;BOG;2;61,2;242215,52
BOL;BOG;1;19,3;76384,96
BOL;BOG;11;108,13;437332,86
BOL;BOG;24;223,04;882741,02
BOL;BOG;22;173;684694,2
BOL;BOG;31;405,13;1603411,35
BOL;BOG;19;98,8;391027,67
BOL;BOG;325;1365,06;5457482,58
BOL;BOG;5;17,75;71790,05
BOL;BOG;44;161,48;650879,11
BOL;BOG;63;276,04;1097016,78
BOL;BOG;90;300,92;1190972,14
BOL;BOG;9,66;1232,8;4986071,92
BOL;BOG;1200;780;3154717,8
BOL;BOG;590;153,4;620427,83
BOL;BOG;1683;4412,39;18056955,96
BOL;BOG;738;1910,3;7817577,99
BOL;BOG;586;3132,62;12819714,8
BOL;BOG;334,84;2226,89;8852088,17
BOL;BOG;160,72;305,04;1227595,36
BOL;BOG;3350,06;7601,42;30263185,49
BOL;BOG;34,5;74,29;295309,43
BOL;BOG;40,32;71,76;285252,45
BOL;BOG;215,76;489,96;1947635,09
BOL;BOG;818,88;1539,22;6163279,68
BOL;BOG;79,13;177,41;715641,78
BOL;BOG;36,42;81,66;329402,55
BOL;BOG;124,7;237,98;949593,84
BOL;BOG;278;531,58;2143214,3
BOL;BOG;175,32;331,87;1331493,88
BOL;BOG;194,87;415,86;1660999,07
BOL;BOG;148,89;2024,66;8129956,52
BOL;BOG;111,34;1064,5;4287141,79
BOL;BOG;1401,91;154796,48;619426890,7
BOL;BOG;107,73;10077,22;39883318,99
BOL;BOG;45,97;5713,92;23508723,91
BOL;BOG;536,21;64281,56;264472979,5
BOL;BOG;709,02;65882,93;271061480
BOL;BOG;43,53;4397;18090533,12
BOL;BOG;720;32705,5;130987489,8
BOL;BOG;424,71;18024,9;71650599,74
BOL;BOG;1579,56;52312,34;209180223
BOL;BOG;2086,84;87374,25;349939113,7
BOL;BOG;304;5115,55;20934518,73
BOL;BOG;22,5;40,4;160593,63
BOL;BOG;46,45;98,1;391758,46
BOL;BOG;11,7;26,1;104363,08
BOL;BOG;187,14;7885;31806749,55
BOL;BOG;20;149,8;595730,63
BOL;BOG;47;240,94;962523,44
BOL;BOG;63;432,95;1733990,72
BOL;BOG;15;109,95;437253,55
BOL;BOG;467;1771,89;7088491,24
BOL;BOG;82;285,85;1143056,68
BOL;BOG;168;681,04;2715754,22
BOL;BOG;1439;3416,74;13663218,87
BOL;BOG;247;645,26;2581766,89
BOL;BOG;145;492,1;1966467,94
BOL;BOG;122;317,14;1266488,5
